title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year,runtime_for_plot,rounded_averages
How to Train Your Dragon,False,"['Fantasy', 'Adventure', 'Animation', 'Family']",en,88.908,98,7.82,12362,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera']",Unknown,"['friendship', 'ship', 'blacksmith', 'island', 'based on novel or book', 'flying', 'arena', 'village', 'training', 'ignorance', 'viking', 'forest', 'flight', 'nest', 'dragon', 'battle', 'combat', 'well', 'warrior', 'pets']",2010,98,7.8
Come Out Fighting,False,"['War', 'Drama', 'Action']",en,88.403,86,5.224,29,"['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz']",Unknown,"['world war ii', 'us army', 'american soldiers', 'black soldier']",2023,86,5.2
Thor: Ragnarok,False,"['Action', 'Adventure', 'Science Fiction']",en,88.368,131,7.6,19879,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Tessa Thompson']",Unknown,"['superhero', 'based on comic', 'sequel', 'alien planet', 'female villain', 'norse mythology', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'norse god', 'loki']",2017,131,7.6
Spider-Man: Into the Spider-Verse,False,"['Action', 'Adventure', 'Animation', 'Science Fiction']",en,88.297,117,8.405,14564,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']",Unknown,"['superhero', 'based on comic', 'aftercreditsstinger', 'alternate universe']",2018,117,8.4
Jack Reacher,False,"['Crime', 'Drama', 'Thriller', 'Action']",en,88.166,130,6.619,6644,"['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins', 'David Oyelowo']",Unknown,"['sniper', 'coma', 'based on novel or book', 'war veteran', 'mass murder', 'detective', 'investigation', 'betrayal', 'conspiracy', 'police chase', 'investigator', 'district attorney', 'defense attorney', 'military police', 'loner', 'purple heart', 'framed for murder', 'ex military', 'off the grid', 'mass shooting', 'father daughter relationship', 'victims', 'army veteran', 'twists', 'backstory', 'physical evidence', 'fist fight', 'mass murderer', 'gun range']",2012,130,6.6
The Emperor's New Groove,False,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",en,87.985,78,7.55,6278,"['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton']",Unknown,"['central and south america', 'kingdom', 'birthday', 'peru', 'emperor', 'palace', 'berater', 'breaking the fourth wall', 'incan empire', 'assassination attempt', '15th century', 'llama']",2000,78,7.6
Captain America: Civil War,False,"['Adventure', 'Action', 'Science Fiction']",en,87.97,147,7.4,21863,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",Unknown,"['civil war', 'superhero', 'based on comic', 'sequel', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']",2016,147,7.4
Zack Snyder's Justice League,False,"['Action', 'Adventure', 'Fantasy']",en,87.957,242,8.176,9500,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot', 'Jason Momoa']",Unknown,"['saving the world', 'superhero', 'resurrection', 'based on comic', 'superhero team', 'planet invasion', 'action hero', 'dc extended universe (dceu)', 'superhero teamup', ""director's cut""]",2021,242,8.2
Guimoon: The Lightless Door,False,"['Horror', 'Thriller']",ko,87.922,85,6.706,80,"['Kim Kang-woo', 'Kim So-hye', 'Lee Jung-hyoung', 'Hong Jin-gi']",Unknown,[],2021,85,6.7
Señora Influencer,False,"['Comedy', 'Drama', 'Thriller']",es,87.912,99,8.1,4,"['Mónica Huarte', 'Leonardo Daniel', 'Bárbara Lombardo', 'Macarena García']",Unknown,[],2023,99,8.1
Fury,False,"['War', 'Drama', 'Action']",en,87.815,135,7.524,11297,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman', 'Michael Peña']",Unknown,"['hero', 'nazi', 'ambush', 'bravery', 'world war ii', 'heroism', 'tank', 'europe', 'execution', 'battle', 'brutality', 'hatred', '1940s', 'beating the odds']",2014,135,7.5
Rewind,False,"['Drama', 'Romance', 'Science Fiction']",tl,87.792,112,6.762,21,"['Dingdong Dantes', 'Marian Rivera', 'Coney Reyes', 'Ariel Ureta']",Unknown,"['romance', 'magic realism', 'second chances', 'drama', 'sci-fi']",2023,112,6.8
Coraline,False,"['Animation', 'Family', 'Fantasy']",en,87.491,100,7.868,7295,"['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French']",Unknown,"['friendship', 'dream', 'based on novel or book', 'eye', 'stuffed animal', 'stop motion', 'parallel world', 'button', 'new home', 'secret door', 'aftercreditsstinger', 'duringcreditsstinger', 'horror for children', 'talking cat', 'parallel universe', 'neil gaiman']",2009,100,7.9
Texas Chainsaw 3D,False,"['Horror', 'Thriller']",en,87.306,92,5.464,1576,"['Alexandra Daddario', 'Dan Yeager', 'Trey Songz', 'Tania Raymonde']",Unknown,"['home', 'gore', 'sequel', 'leatherface', 'slasher', 'chainsaw', 'shattered home', 'violent death', 'bloody fight', 'blood lust', 'aftercreditsstinger', 'duringcreditsstinger', 'góry', 'sawing', 'hewitt']",2013,92,5.5
Toy Story 2,False,"['Animation', 'Comedy', 'Family']",en,87.121,92,7.6,13180,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer']",Unknown,"['friendship', 'airplane', 'museum', 'prosecution', 'identity crisis', 'flea market', 'collector', 'sequel', 'buddy', 'rescue team', 'garage sale', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects come to life']",1999,92,7.6
Dragon Ball Super: Super Hero,False,"['Animation', 'Science Fiction', 'Action']",ja,86.953,99,7.91,2648,"['Masako Nozawa', 'Toshio Furukawa', 'Yuko Minaguchi', 'Hiroshi Kamiya']",Unknown,"['android', 'sequel', 'attack', 'based on manga', 'fighting', 'aftercreditsstinger', 'duringcreditsstinger', 'anime']",2022,99,7.9
Kandahar,False,"['Action', 'Thriller']",en,86.711,119,6.901,828,"['Gerard Butler', 'Navid Negahban', 'Travis Fimmel', 'Ali Fazal']",Unknown,"['cia', 'undercover agent', 'behind enemy lines']",2023,119,6.9
The Feast of Amrita,False,"['Animation', 'Mystery', 'Fantasy', 'Horror']",ja,86.697,48,6.0,1,"['Maaya Uchida', 'Mamiko Noto', 'Kana Hanazawa', 'Moemi Otaka']",Unknown,"['gore', 'survival', 'schoolgirl', 'supernatural creature', 'dark fantasy', 'anime']",2023,48,6.0
Inside Out,False,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",en,86.426,95,7.919,19949,"['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Lewis Black']",Unknown,"['dream', 'san francisco, california', 'minnesota', 'sadness', 'cartoon', 'ice hockey', 'imaginary friend', 'elementary school', 'family relationships', 'memory', 'family', 'unicorn', 'running away', 'duringcreditsstinger', 'emotions']",2015,95,7.9
Ice Age: Dawn of the Dinosaurs,False,"['Animation', 'Comedy', 'Family', 'Adventure']",en,86.054,94,6.744,7876,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah']",Unknown,"['insanity', 'ice age', 'bridge', 'sequel', 'jungle', 'prehistory', 'dinosaur', 'creature', 'birth', 'duringcreditsstinger']",2009,94,6.7
Toy Guardians,False,"['Animation', 'Family']",zh,85.873,0,6.8,32,"['Lizhen Yan', 'Heng Wang', 'Chuanying Li']",Unknown,[],2017,102,6.8
Furious 7,False,"['Action', 'Thriller', 'Crime']",en,85.725,137,7.237,10175,"['Vin Diesel', 'Paul Walker', 'Jason Statham', 'Michelle Rodriguez']",Unknown,"['car race', 'speed', 'street race', 'revenge', 'race', 'muscle car']",2015,137,7.2
Infinite,False,"['Science Fiction', 'Action', 'Thriller']",en,85.334,106,6.606,1612,"['Mark Wahlberg', 'Chiwetel Ejiofor', 'Sophie Cookson', 'Jason Mantzoukas']",Unknown,"['based on novel or book', 'secret organization', 'reincarnation', 'memories']",2021,106,6.6
