title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year,runtime_for_plot,rounded_averages
Aquaman and the Lost Kingdom,False,"['Action', 'Adventure', 'Fantasy']",en,5841.384,124,7.013,1156,"['Jason Momoa', 'Patrick Wilson', 'Yahya Abdul-Mateen II', 'Randall Park']",Unknown,"['superhero', 'secret society', 'half-brother', 'sequel', 'revenge', 'dysfunctional relationship', 'dc extended universe (dceu)', 'ancient evil', 'underwater world', 'vengeance', 'brother brother relationship']",2023,124,7.0
Wonka,False,"['Comedy', 'Family', 'Fantasy']",en,2333.391,117,7.2,1660,"['Timothée Chalamet', 'Calah Lane', 'Keegan-Michael Key', 'Hugh Grant']",Unknown,"['chocolate', 'musical', 'prequel', 'duringcreditsstinger']",2023,117,7.2
Wish,False,"['Animation', 'Family', 'Fantasy', 'Adventure']",en,1662.711,95,6.638,538,"['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral']",Unknown,"['friendship', 'musical', 'computer animation', 'female protagonist', 'betrayal by friend', 'aftercreditsstinger', 'woman director', 'disabled person', 'star', 'corrupt government']",2023,95,6.6
Migration,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action']",en,1486.31,83,7.83,390,"['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal']",Unknown,"['duck', 'migration', 'flight', 'anthropomorphism', 'animal', 'overprotective father', 'bird']",2023,83,7.8
The Marvels,False,"['Science Fiction', 'Adventure', 'Action']",en,1397.918,105,6.415,1328,"['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton']",Unknown,"['hero', 'superhero', 'space travel', 'based on comic', 'sequel', 'teenage girl', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'space adventure']",2023,105,6.4
Sixty Minutes,False,"['Action', 'Drama']",de,1028.278,89,6.912,170,"['Emilio Sakraya', 'Dennis Mojen', 'Marie Mouroum', 'Florian Schmidtke']",Unknown,[],2024,89,6.9
Patriots Time,False,"['Action', 'War']",ru,830.989,101,9.7,16,"['Daniyar Alshinov', 'Sanurzhan Suleymenov', 'Dasten Shakirov', 'Sayat Isembayev']",Unknown,[],2022,101,9.7
Radical,False,['Drama'],en,774.377,127,8.626,139,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo', 'Mia Fernanda Solis']",Unknown,"['usa–mexico border', 'teachers and students', 'border town']",2023,127,8.6
Attack,False,"['Action', 'Science Fiction', 'Thriller']",hi,751.443,123,7.412,85,"['John Abraham', 'Serena Walia', 'Rakul Preet Singh', 'Prakash Raj']",Unknown,"['parliament', 'super soldier', 'soldier', 'indian army']",2022,123,7.4
Lift,False,"['Action', 'Comedy', 'Crime', 'Drama']",en,740.964,106,6.499,616,"['Kevin Hart', 'Gugu Mbatha-Raw', 'Sam Worthington', ""Vincent D'Onofrio""]",Unknown,"['gold', 'gang of thieves', 'heist', 'airplane hijacking', 'caper comedy', 'terrorist group', 'cyber terrorism', 'international manhunt', 'plane', 'art heist', 'gold heist']",2024,106,6.5
Napoleon,False,"['History', 'War', 'Drama']",en,725.308,158,6.533,1507,"['Joaquin Phoenix', 'Vanessa Kirby', 'Rupert Everett', 'Mark Bonnar']",Unknown,"['empire', 'france', 'biography', 'napoleon bonaparte', 'based on true story', 'napoleonic wars', '19th century', 'biopic']",2023,158,6.5
Society of the Snow,False,"['Drama', 'History']",es,668.258,144,8.104,1543,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt', 'Tomas Wolf']",Unknown,"['rescue', 'friendship', 'based on novel or book', 'prayer', '1970s', 'based on true story', 'rugby', 'uruguay', 'struggle for survival', 'mountain climbing', 'andes mountains', 'historical drama', 'plane crash']",2023,144,8.1
The Beekeeper,False,"['Action', 'Thriller', 'Drama']",en,647.361,105,7.331,284,"['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson']",Unknown,"['potus', 'secret government agency', 'fbi agent', 'beekeepers', 'scammer', 'scam call center', 'retired assassin']",2024,105,7.3
Anyone But You,False,"['Comedy', 'Romance']",en,555.055,104,7.446,168,"['Sydney Sweeney', 'Glen Powell', 'Alexandra Shipp', 'Michelle Hurd']",Unknown,"['australia', 'hiking', 'college', 'romantic comedy', 'based on play or musical', 'shakespeare in modern dress', 'aftercreditsstinger', 'duringcreditsstinger', 'fake dating', ""sister's wedding"", 'much ado about nothing']",2023,104,7.4
Role Play,False,"['Action', 'Comedy', 'Romance']",en,510.517,101,6.067,253,"['Kaley Cuoco', 'David Oyelowo', 'Bill Nighy', 'Connie Nielsen']",Unknown,"['assassin', 'husband wife relationship', 'secret life', 'hired killer', 'secretive wife', 'clueless husband', 'mother daughter relationship', 'berlin', 'woman spy']",2023,101,6.1
The Boy and the Heron,False,"['Animation', 'Adventure', 'Fantasy']",ja,501.597,124,7.465,871,"['Soma Santoki', 'Masaki Suda', 'Ko Shibasaki', 'Yoshino Kimura']",Unknown,"['based on novel or book', 'loss of loved one', 'world war ii', 'education', 'bullying', 'coming of age', 'spirituality', 'poverty', 'teenage boy', 'troubled childhood', 'moving to a city', 'anime', 'hand drawn animation', 'magic world', 'courage']",2023,124,7.5
Poor Things,False,"['Science Fiction', 'Romance', 'Comedy']",en,494.869,141,8.178,618,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef']",Unknown,"['based on novel or book', 'obsession', 'crooked lawyer', 'love', 'domestic abuse', 'female protagonist', 'doctor', 'prostitution', 'cruelty', 'scientist', 'disfigured face', 'exploring sexuality', 'female empowerment', 'female sexuality', 'brain transplant', 'absurdism', 'spousal abuse', ""women's liberation"", 'victorian era', 'frankenstein', 'body horror']",2023,141,8.2
Oppenheimer,False,"['Drama', 'History']",en,463.169,181,8.114,6461,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']",Unknown,"['husband wife relationship', 'based on novel or book', 'politics', 'atomic bomb', 'professor', 'patriotism', 'new mexico', 'world war ii', 'hallucination', 'atomic bomb test', 'surrealism', 'physics', 'biography', 'berkeley', 'based on true story', 'physicist', 'jewish american', 'interrogation', 'guilt', 'nonlinear timeline', 'historical event', 'nuclear weapons', 'communism', 'red scare', 'mccarthyism', 'top secret project', 'moral dilemma', 'usa politics', '1940s', 'ethics', 'quantum physics', 'antisemitism', 'apocalyptic vision', 'new mexico desert', 'male protagonist', '20th century', 'manhattan project', 'affair', 'los alamos', 'hiroshima and nagasaki bombings']",2023,181,8.1
Due Justice,False,"['Crime', 'Thriller', 'Action']",en,445.866,98,7.143,7,"['Kellan Lutz', 'William Forsythe', 'Jeff Fahey', 'Efren Ramirez']",Unknown,"['crime boss', 'vigilante', 'crime syndicate', 'murder of family', 'vengeance', 'revenge thriller', 'vigilante justice', 'organ trafficking', 'attorney', 'abducted daughter']",2023,98,7.1
The OctoGames,False,"['Thriller', 'Action', 'Horror']",en,443.902,88,5.911,56,"['Lacy Hartselle', 'Cale Adcock', 'Luv Patel', 'Henry Haggard']",Unknown,"['遊戲', '挑戰極限', '組團打怪']",2022,88,5.9
Badland Hunters,False,"['Action', 'Science Fiction', 'Drama']",ko,443.734,109,6.869,88,"['Ma Dong-seok', 'Lee Hee-jun', 'Lee Jun-young', 'Roh Jeong-eui']",Unknown,"['post-apocalyptic future', 'earthquake', 'badlands', 'based on webcomic or webtoon', 'seoul, south korea']",2024,109,6.9
Deep Fear,False,"['Action', 'Mystery', 'Thriller', 'Horror']",en,438.565,84,5.917,103,"['Mãdãlina Ghenea', 'Ed Westwick', 'Macarena Gómez', 'Stany Coppet']",Unknown,['shark'],2023,84,5.9
All Fun and Games,False,"['Horror', 'Thriller']",en,437.959,77,5.8,64,"['Asa Butterfield', 'Natalia Dyer', 'Benjamin Evan Ainsworth', 'Laurel Marsden']",Unknown,"['salem, massachusetts', 'deadly game', 'cursed object', 'salem witch']",2023,77,5.8
Monsters 103 Mercies Dragon Damnation,False,"['Animation', 'Action', 'Fantasy', 'Adventure']",ja,426.947,26,8.378,37,"['Yoshimasa Hosoya', 'Kana Hanazawa', 'Hiroki Touchi', 'Mitsuaki Madono']",Unknown,"['based on manga', 'anime']",2024,26,8.4
The Family Plan,False,"['Action', 'Comedy']",en,421.368,119,7.366,825,"['Mark Wahlberg', 'Michelle Monaghan', 'Maggie Q', 'Zoe Colletti']",Unknown,"['assassin', 'las vegas', 'family', 'duringcreditsstinger', 'hidden identity', 'family trip', 'roadtrip', 'former soldier', 'father and son']",2023,119,7.4
Fast X,False,"['Action', 'Crime', 'Thriller']",en,380.186,142,7.161,4786,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris']",Unknown,"['sequel', 'revenge', 'betrayal', 'racing', 'family', 'cliffhanger', 'cars']",2023,142,7.2
The Painter,False,"['Action', 'Thriller']",en,370.9,100,7.209,43,"['Charlie Weber', 'Jon Voight', 'Madison Bailey', 'Max Montesi']",Unknown,"['killer', 'mysterious woman', 'black ops', 'ex-cia agent']",2024,100,7.2
Granit,False,"['Action', 'War']",ru,360.245,100,7.125,24,"['Aleksandr Baranovskiy', 'Oleg Chernov', 'Mark Gavrilov', 'Evgeny Dobryakov']",Unknown,[],2021,100,7.1
The Resort,False,['Horror'],en,353.605,75,4.476,103,"['Bianca Haase', ""Brock O'Hurn"", 'Michael Vlamis', 'Michelle Randolph']",Unknown,"['helicopter', 'hawaii', 'haunting', 'waterfall', 'resort', 'security guard', 'tropical island', 'ghost', 'told in flashback']",2021,75,4.5
One More Shot,False,"['Action', 'Thriller']",en,352.071,102,6.818,85,"['Scott Adkins', 'Michael Jai White', 'Alexis Knapp', 'Meena Rayann']",Unknown,[],2024,102,6.8
Killers of the Flower Moon,False,"['Crime', 'History', 'Drama']",en,349.281,206,7.533,2184,"['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons']",Unknown,"['husband wife relationship', 'based on novel or book', 'war veteran', 'fbi', 'greed', 'oklahoma', 'manipulation', 'native american', 'based on true story', 'murder', 'racism', 'series of murders', 'genocide', 'period drama', 'courtroom', 'guilt', 'true crime', 'oil industry', 'death of sister', 'catholicism', 'uncle nephew relationship', 'catholic guilt', 'hopeless', '1920s', 'osage indian', 'gullibility', 'poisoning', 'diabetes', 'anxious', 'revisionist western', 'meta', 'male protagonist', 'western', 'shot on film', 'gloomy']",2023,206,7.5
The Hunger Games: The Ballad of Songbirds & Snakes,False,"['Drama', 'Science Fiction', 'Action']",en,347.215,157,7.223,1620,"['Tom Blyth', 'Rachel Zegler', 'Peter Dinklage', 'Jason Schwartzman']",Unknown,"['daughter', 'based on novel or book', 'arena', 'fight', 'mentor', 'dystopia', 'riot', 'exploration', 'president', 'prequel', 'survival', 'murder', 'snow', 'creature', 'battle', 'spin off', 'fight to the death', 'young adult', 'origin story', 'based on young adult novel', 'death game', 'teenager']",2023,157,7.2
Barbie,False,"['Comedy', 'Adventure', 'Fantasy']",en,334.145,114,7.1,7156,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon']",Unknown,"['feminism', 'satire', 'patriarchy', 'based on toy', 'female protagonist', 'doll', 'fantasy world', 'motherhood', 'existentialism', 'woman director', 'mother daughter relationship', 'gender discrimination', 'barbie', 'secret world']",2023,114,7.1
Weekend Warriors,False,"['Action', 'Thriller']",en,329.816,93,8.133,15,"['Corbin Bernsen', 'Jason London', 'Jason Michael Carroll', 'Jack Gross']",Unknown,[],2021,93,8.1
Mírame,False,['Horror'],es,318.157,96,6.983,59,"['Axel Alpuche', 'Regina Reynoso', 'Darío T. Pie', 'Leticia Huijara']",Unknown,"['family secrets', 'murder', 'swimmer', 'ghost', 'xochimilco', 'haunted']",2021,96,7.0
Justice League: Crisis on Infinite Earths Part One,False,"['Animation', 'Science Fiction', 'Action']",en,307.116,93,7.68,142,"['Matt Bomer', 'Jensen Ackles', 'Darren Criss', 'Meg Donnelly']",Unknown,"['superhero', 'villain', 'end of the world', 'based on graphic novel', 'superhero team', 'parallel universe', 'dcamu (tomorrowverse)']",2024,93,7.7
Trolls Band Together,False,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']",en,299.141,91,7.2,587,"['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André']",Unknown,"['pop star', 'brother', 'musical', 'sequel', 'based on toy', 'troll', 'duringcreditsstinger', 'reunite', 'sister sister relationship', 'brother brother relationship', 'jukebox musical']",2023,91,7.2
John Wick: Chapter 4,False,"['Action', 'Thriller', 'Crime']",en,298.326,170,7.754,5493,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane']",Unknown,"['new york city', 'martial arts', 'hitman', 'sequel', 'organized crime', 'osaka, japan', 'blindness', 'aftercreditsstinger', 'hunted', 'consequences', 'professional assassin', 'neo-noir', 'male protagonist', 'berlin']",2023,170,7.8
Freelance,False,"['Action', 'Comedy']",en,295.697,108,6.549,496,"['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve']",Unknown,"[""coup d'etat"", 'dictatorship', 'political assassination', 'duringcreditsstinger', 'investigative journalism', 'ex special forces', 'fictional city']",2023,108,6.5
Sunrise,False,"['Horror', 'Thriller']",en,295.452,84,8.192,13,"['Guy Pearce', 'Alex Pettyfer', 'Olwen Fouéré', 'Crystal Yu']",Unknown,"['ex-cop', 'rural town']",2024,84,8.2
Transformers: Rise of the Beasts,False,"['Action', 'Adventure', 'Science Fiction']",en,294.011,127,7.379,3943,"['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman']",Unknown,"['peru', 'alien', 'end of the world', 'based on toy', 'robot', 'duringcreditsstinger', '1990s', 'brother brother relationship', 'transformers']",2023,127,7.4
Godzilla Minus One,False,"['Science Fiction', 'Horror', 'Action']",ja,293.947,125,7.9,377,"['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki']",Unknown,"['monster', 'loss of loved one', 'giant monster', 'kamikaze', 'duty', 'atomic bomb test', 'radioactivity', 'naval combat', 'reboot', 'kaiju', 'duringcreditsstinger', 'post war japan', '1940s', 'naval battle', 'naval battleship', 'found family', 'godzilla', 'war orphan', 'survivor guilt']",2023,125,7.9
Silent Night,False,"['Action', 'Adventure', 'Thriller']",en,293.759,104,6.176,364,"['Joel Kinnaman', 'Kid Cudi', 'Harold Torres', 'Catalina Sandino Moreno']",Unknown,"['holiday', 'revenge', 'death of son', 'christmas', 'no dialogue']",2023,104,6.2
Thanksgiving,False,"['Horror', 'Mystery', 'Thriller']",en,292.843,106,6.695,595,"['Patrick Dempsey', 'Nell Verlaque', 'Addison Rae', 'Ty Olsson']",Unknown,"['small town', 'sadism', 'holiday', 'massachusetts', 'thanksgiving', 'dark comedy', 'riot', 'plymouth', 'murder', 'serial killer', 'consumerism', 'slasher', 'whodunit', 'aftercreditsstinger', 'murder spree', 'teenage killer', 'black friday', 'based on short film', 'holidays', 'revenge slasher', 'stalked by a killer', 'revenge horror', 'masked killer', 'teen slasher', 'holiday horror']",2023,106,6.7
Rebel Moon - Part One: A Child of Fire,False,"['Science Fiction', 'Drama', 'Action']",en,292.002,134,6.421,1343,"['Sofia Boutella', 'Michiel Huisman', 'Ed Skrein', 'Djimon Hounsou']",Unknown,"['space war', 'space', 'space opera', 'space adventure', 'action hero', 'alien spaceship', 'super hero girls', 'space vessel']",2023,134,6.4
Spider-Man: Across the Spider-Verse,False,"['Animation', 'Action', 'Adventure', 'Science Fiction']",en,289.679,140,8.374,5647,"['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac']",Unknown,"['new york city', 'sacrifice', 'superhero', 'comic book', 'based on comic', 'sequel', 'romance', 'alternate dimension', 'india', 'alternate version', 'super power', 'brooklyn, new york city', 'superhero team', 'spider bite', 'super villain', 'cliffhanger', 'teen superhero', 'chelsea', 'alternate universe', 'teen romance', 'female superhero', 'slow burn romance', 'interdimensional travel', 'defying fate']",2023,140,8.4
The Super Mario Bros. Movie,False,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",en,277.627,93,7.695,7928,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black']",Unknown,"['gorilla', 'plumber', 'anthropomorphism', 'magic mushroom', 'based on video game', 'toad', 'aftercreditsstinger', 'duringcreditsstinger', 'damsel in distress', 'piano', 'brother brother relationship', 'evil king', 'mario']",2023,93,7.7
Avatar: The Way of Water,False,"['Science Fiction', 'Adventure', 'Action']",en,272.893,192,7.638,10728,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang']",Unknown,"['dying and death', 'loss of loved one', 'alien life-form', 'resurrection', 'dysfunctional family', 'sequel', 'alien planet', 'distant future', 'adopted child', 'rebirth', 'family dynamics', 'adopted son', 'stronger villain', 'war']",2022,192,7.6
The Bricklayer,False,"['Action', 'Thriller']",en,267.493,110,6.115,74,"['Aaron Eckhart', 'Nina Dobrev', 'Clifton Collins Jr.', 'Tim Blake Nelson']",Unknown,"['blackmail', 'conspiracy', 'ex-cia agent', 'journalist killed']",2023,110,6.1
Expend4bles,False,"['Action', 'Adventure', 'Thriller']",en,266.347,103,6.405,1072,"['Jason Statham', 'Sylvester Stallone', '50 Cent', 'Megan Fox']",Unknown,"['sequel', 'nuclear bomb', 'cargo ship', 'ring']",2023,103,6.4
Ox-Head Village,False,"['Horror', 'Drama']",ja,265.979,115,5.208,24,"['Kōki', 'Riku Hagiwara', 'Fumiya Takahashi', 'Haruka Imou']",Unknown,"['missing person', 'japanese folklore']",2022,115,5.2
My Fault,False,"['Drama', 'Romance']",es,263.931,117,8.037,2197,"['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez']",Unknown,"['stepbrother', 'female protagonist', 'stepsister', 'rise', 'enemies to lovers', 'passion and romance', 'car']",2023,117,8.0
Sound of Freedom,False,"['Action', 'Drama']",en,263.759,131,8.058,1870,"['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena']",Unknown,"['pedophilia', 'kidnapping', 'human trafficking', 'based on true story', 'scam', 'child kidnapping', 'grooming', 'lost children', 'children in danger', 'colombia']",2023,131,8.1
Leo,False,"['Animation', 'Comedy', 'Family']",en,262.138,102,7.538,892,"['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander']",Unknown,"['classroom', 'musical', 'bucket list']",2023,102,7.5
When Evil Lurks,False,"['Horror', 'Thriller']",es,260.075,99,7.367,483,"['Ezequiel Rodríguez', 'Demián Salomón', 'Silvina Sabater', 'Virginia Garófalo']",Unknown,"['farm', 'small town', 'shotgun', 'village', 'possession', 'gore', 'goat', 'demon', 'police officer', 'dog', 'ex-wife', 'evil', 'brother brother relationship', 'brutal violence']",2023,99,7.4
Five Nights at Freddy's,False,"['Horror', 'Mystery']",en,259.863,110,7.719,3276,"['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard']",Unknown,"['night shift', 'child murder', 'restaurant', 'custody battle', 'child in peril', 'orphan', 'security guard', 'based on video game', 'duringcreditsstinger', 'troubled past', 'child neglect', 'animatronic', 'abandoned building', 'brother sister relationship', 'ghost child', 'child abduction']",2023,110,7.7
Dead for a Dollar,False,"['Western', 'Thriller', 'Action']",en,259.808,106,5.893,206,"['Christoph Waltz', 'Willem Dafoe', 'Rachel Brosnahan', 'Hamish Linklater']",Unknown,[],2022,106,5.9
El padrino: The Latin Godfather,False,"['Action', 'Crime', 'Drama']",en,259.766,128,6.756,39,"['Damian Chapa', 'Sal Lopez', 'Emilio Rivera', 'Jennifer Tilly']",Unknown,[],2004,128,6.8
Mission: Impossible - Dead Reckoning Part One,False,"['Action', 'Thriller']",en,255.722,164,7.576,2979,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg']",Unknown,"['race against time', 'mission', 'rome, italy', 'chase', 'secret mission', 'secret agent', 'sequel', 'intelligence agency', 'rogue agent', 'based on tv series', 'secret government agency', 'northern norway']",2023,164,7.6
Acid,False,"['Drama', 'Fantasy']",fr,253.89,99,5.842,76,"['Guillaume Canet', 'Laetitia Dosch', 'Patience Munchenbach', 'Felicia Talluto']",Unknown,[],2023,99,5.8
Night Swim,False,"['Horror', 'Thriller']",en,250.904,98,6.003,160,"['Wyatt Russell', 'Kerry Condon', 'Amélie Hoeferle', 'Gavin Warren']",Unknown,"['supernatural', 'swimming pool', 'evil spirit', 'teenage girl', 'real estate agent', '1990s', 'pool party', 'pool', '2000s', 'supernatural horror', 'based on short film', 'night swimming', 'horror']",2024,98,6.0
My Grandpa is an Alien,False,"['Adventure', 'Family', 'Science Fiction']",hr,244.579,79,7.2,22,"['Lana Hranjec', 'Ozren Grabarić', 'Nils Ole Oftebro', 'Petra Polnišová']",Unknown,['woman director'],2019,79,7.2
Wired Shut,False,"['Horror', 'Thriller']",en,227.939,95,5.1,20,"['Blake Stadel', 'Natalie Sharp', 'Behtash Fazlali']",Unknown,[],2021,95,5.1
Grey Eyes,False,"['Action', 'Science Fiction']",es,225.099,100,5.6,7,"['William Prociuk', 'Fernando Amaral', 'Cecilia Milano', 'Christian Zagia']",Unknown,"['drug addiction', 'archer', 'drug use', 'female protagonist', 'color blindness']",2018,100,5.6
Elemental,False,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Adventure']",en,223.064,102,7.68,3590,"['Leah Lewis', 'Mamoudou Athie', 'Shila Ommi', 'Wendi McLendon-Covey']",Unknown,"['fire', 'computer animation', 'duringcreditsstinger', 'elements', 'water', 'city']",2023,102,7.7
The Creator,False,"['Action', 'Adventure', 'Science Fiction']",en,221.949,134,7.137,2075,"['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney']",Unknown,"['artificial intelligence (a.i.)', 'asia', 'distant future', 'space station', 'child', 'ex special forces', 'missing wife', 'robots', 'war against machines']",2023,134,7.1
El Padrino II: Border Intrusion,False,['Crime'],en,221.777,0,6.25,4,"['Damian Chapa', 'Jeff McCredie', 'Konstantine Antoniou', 'Anthony Berber']",Unknown,[],2008,102,6.2
Meg 2: The Trench,False,"['Action', 'Science Fiction', 'Horror']",en,221.248,116,6.658,2870,"['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy']",Unknown,"['based on novel or book', 'sequel', 'shark', 'kaiju', 'civil action', 'oceans', 'shark cage']",2023,116,6.7
Talk to Me,False,"['Horror', 'Thriller']",en,221.068,95,7.209,2224,"['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji']",Unknown,"['suicide', 'trauma', 'possession', 'female friendship', 'addiction', 'grief', 'female protagonist', 'death of mother', 'self mutilation', 'mental health', 'dead parent', 'social media', 'peer pressure', 'disembodied hand', 'generation z', 'self-harm', 'supernatural horror', 'cautionary tale', 'adelaide australia', 'body horror', 'graphic violence', 'teenager', 'modern australia']",2023,95,7.2
maboroshi,False,"['Animation', 'Drama', 'Romance', 'Fantasy']",ja,213.029,112,8.0,41,"['Junya Enoki', 'Reina Ueda', 'Misaki Kuno', 'Koji Seto']",Unknown,"['small town', 'love', 'time freeze\xa0', 'anime', 'uncertainty']",2023,112,8.0
Foxtrot Six,False,"['Action', 'Science Fiction']",en,210.299,114,6.457,35,"['Oka Antara', 'Rio Dewanto', 'Verdi Solaiman', 'Mike Lewis']",Unknown,[],2019,114,6.5
Ferrari,False,"['Drama', 'History']",en,205.642,131,6.7,264,"['Adam Driver', 'Penélope Cruz', 'Shailene Woodley', 'Patrick Dempsey']",Unknown,"['husband wife relationship', 'biography', 'based on true story', 'racing', '1950s', 'cars', 'ferrari']",2023,131,6.7
The Equalizer 3,False,"['Action', 'Thriller', 'Crime']",en,202.006,109,7.415,2175,"['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman']",Unknown,"['italy', 'vigilante justice', 'italian mafia']",2023,109,7.4
Next Goal Wins,False,"['Comedy', 'Drama']",en,198.722,104,6.5,143,"['Michael Fassbender', 'Oscar Kightley', 'Kaimana', 'David Fane']",Unknown,"['world cup', 'based on true story', 'coach', 'football (soccer)', 'aftercreditsstinger', 'indigenous community', 'transphobia', 'transgender']",2023,104,6.5
Argylle,False,"['Comedy', 'Action', 'Crime']",en,195.447,139,7.938,8,"['Henry Cavill', 'Bryce Dallas Howard', 'Sam Rockwell', 'Bryan Cranston']",Unknown,"['cat', 'spy', 'secret agent', 'author', 'novelist', 'secrets']",2024,139,7.9
The Flash,False,"['Action', 'Adventure', 'Science Fiction']",en,193.361,144,6.788,3536,"['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon']",Unknown,"['hero', 'secret identity', 'superhero', 'based on comic', 'superhuman', 'super power', 'aftercreditsstinger', 'butterfly effect', 'dc extended universe (dceu)', 'superhuman abilities', 'loss of mother']",2023,144,6.8
Harry Potter and the Philosopher's Stone,False,"['Adventure', 'Fantasy']",en,191.061,152,7.916,26032,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris']",Unknown,"['witch', 'school friend', 'friendship', 'london, england', 'based on novel or book', 'magic', 'boarding school', 'child hero', 'school of witchcraft', 'chosen one', 'school', 'shopping', 'fantasy world', 'wizard', 'christmas', 'based on young adult novel', 'owl']",2001,152,7.9
Gran Turismo,False,"['Adventure', 'Action', 'Drama']",en,190.873,135,7.955,1881,"['Archie Madekwe', 'David Harbour', 'Orlando Bloom', 'Djimon Hounsou']",Unknown,"['based on true story', 'racing', 'based on video game', 'duringcreditsstinger']",2023,135,8.0
Spider-Man: No Way Home,False,"['Action', 'Adventure', 'Science Fiction']",en,190.677,148,7.976,18928,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']",Unknown,"['new york city', 'hero', 'showdown', 'magic', 'loss of loved one', 'secret identity', 'superhero', 'villain', 'portal', 'sequel', 'vigilante', 'superhero team', 'alternate reality', 'masked vigilante', 'spider web', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'teenage hero', 'fight for justice', 'superhero teamup', 'returning hero', 'crossover', 'teamwork']",2021,148,8.0
Avengers: Infinity War,False,"['Adventure', 'Action', 'Science Fiction']",en,188.748,149,8.3,28364,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",Unknown,"['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']",2018,149,8.3
The Underdoggs,False,['Comedy'],en,187.135,96,6.625,16,"['Snoop Dogg', 'Tika Sumpter', 'Elias Ferguson', 'Jonigan Booth']",Unknown,"['cannabis', 'community service']",2024,96,6.6
Richard the Stork and the Mystery of the Great Jewel,False,"['Animation', 'Adventure', 'Comedy', 'Family']",en,184.94,84,7.2,6,"['Jonathan Failla', 'Dulcie Smart', 'Erik Hansen', 'Mala Ghedia']",Unknown,[],2023,84,7.2
Shortcut,False,"['Horror', 'Adventure', 'Fantasy']",en,180.876,80,5.51,97,"['Jack Kane', 'Zanda Emlano', 'Zak Sutcliffe', 'Sophie Jane Oliver']",Unknown,"['monster', 'creature', 'school bus', 'tunnel', 'road', 'teenager', 'drained of blood']",2020,80,5.5
State of Siege: Temple Attack,False,"['Action', 'Drama']",hi,178.946,106,6.196,28,"['Akshaye Khanna', 'Gautam Rode', 'Vivek Dahiya', 'Abhimanyu Singh']",Unknown,['based on true story'],2021,106,6.2
