actor,avg_rating,avg_popularity,movie_count
50 Cent,5.8022857142857145,55.983,7
Aamir Khan,7.3834,22.4484,5
Aaron Eckhart,6.317842105263158,51.30147368421053,19
Aaron Paul,6.647857142857142,18.059142857142856,7
Aaron Taylor-Johnson,5.753214285714286,30.162142857142857,14
Abbie Cornish,6.4938,26.613,10
Abigail Breslin,6.706428571428572,26.823285714285714,14
Adam Brody,6.4350000000000005,26.049857142857146,7
Adam Devine,6.229571428571428,20.469142857142856,7
Adam Driver,6.797578947368421,39.29852631578947,19
Adam Sandler,6.123785714285715,35.835166666666666,42
Adewale Akinnuoye-Agbaje,5.8834,26.315800000000003,5
Adrien Brody,6.6314705882352944,32.47982352941177,17
Adèle Exarchopoulos,6.671857142857143,26.963428571428572,7
Ah Reum,6.1,23.7286,5
Ahn So-hee,5.449999999999999,18.57425,8
Ai Kayano,7.578499999999999,17.633666666666667,6
Aidan Quinn,6.688166666666667,21.589,6
Akemi Okamura,7.15688888888889,24.22938888888889,18
Akio Otsuka,7.065285714285714,18.66357142857143,7
Akira Ishida,6.5842,21.6456,5
Akira Kamiya,7.168699999999999,16.1528,10
Al Pacino,7.082148148148148,29.678333333333335,27
Alain Delon,6.960571428571429,15.072714285714286,7
Alan Alda,6.9515,22.883333333333336,6
Alan Arkin,6.873615384615385,28.183769230769233,13
Alan Cumming,5.800166666666667,15.829333333333333,6
Alan Rickman,7.0782,23.1605,10
Alan Tudyk,7.103,215.01755555555553,9
Albert Brooks,7.093,30.69883333333333,6
Albert Finney,7.084625,20.42475,8
Alden Ehrenreich,6.2248,33.8104,5
Aldis Hodge,6.81125,38.289,8
Alec Baldwin,6.328862068965518,21.471241379310342,29
Alec Guinness,7.4402,20.1296,5
Alessandro Nivola,6.7515,22.768,8
Alex Pettyfer,6.566,66.28633333333333,6
Alexa PenaVega,5.936400000000001,25.0434,5
Alexander Skarsgård,5.937166666666666,29.676083333333334,12
Alexandra Daddario,6.242916666666667,38.43658333333333,12
